mt20id,prfnm,prfpdfrom,prfpdto,fcltynm,poster,genrenm,openrun,prfstate
PF241898,바스커빌: 셜록홈즈 미스터리 Chapter2,2024.06.22,2024.10.20,예스24아트원(구.대학로아트원씨어터),http://www.kopis.or.kr/upload/pfmPoster/PF_PF241898_240529_094739.jpg,연극,N,공연중
PF241880,카사노바,2024.06.21,2024.09.22,윤당아트홀,http://www.kopis.or.kr/upload/pfmPoster/PF_PF241880_240708_112244.gif,연극,N,공연중
PF241738,바다 100층짜리 집,2024.07.06,2024.08.15,성균관대학교 새천년홀,http://www.kopis.or.kr/upload/pfmPoster/PF_PF241738_240527_100705.gif,뮤지컬,N,공연중
PF241724,제30회 포스메가남성합창단 정기연주회,2024.07.17,2024.07.17,예술의전당 [서울],http://www.kopis.or.kr/upload/pfmPoster/PF_PF241724_240524_140745.gif,서양음악(클래식),N,공연예정
PF241497,젠틀맨스 가이드: 사랑과 살인편,2024.07.06,2024.10.20,광림아트센터,http://www.kopis.or.kr/upload/pfmPoster/PF_PF241497_240522_104224.gif,뮤지컬,N,공연중
PF241439,남사친 여사친,2024.06.01,2024.07.28,세우아트센터,http://www.kopis.or.kr/upload/pfmPoster/PF_PF241439_240531_105054.jpg,연극,Y,공연중
PF241421,살리에르,2024.07.11,2024.09.21,세종문화회관,http://www.kopis.or.kr/upload/pfmPoster/PF_PF241421_240521_094104.gif,뮤지컬,N,공연중
PF241378,쉬어매드니스 [대학로],2024.06.01,2024.07.31,콘텐츠박스(구. 르메이에르 씨어터),http://www.kopis.or.kr/upload/pfmPoster/PF_PF241378_240520_142626.gif,연극,Y,공연중
PF241368,4월은 너의 거짓말,2024.06.28,2024.08.25,예술의전당 [서울],http://www.kopis.or.kr/upload/pfmPoster/PF_PF241368_240520_135016.jpg,뮤지컬,N,공연중
PF241301,하데스타운 [서울],2024.07.12,2024.10.06,샤롯데씨어터,http://www.kopis.or.kr/upload/pfmPoster/PF_PF241301_240517_145643.gif,뮤지컬,N,공연중
PF241277,카르밀라,2024.06.11,2024.09.08,링크아트센터드림,http://www.kopis.or.kr/upload/pfmPoster/PF_PF241277_240517_125516.gif,뮤지컬,N,공연중
PF241185,히사이시 조 영화음악 콘서트 [서울 (앵콜) ],2024.07.07,2024.07.20,롯데콘서트홀,http://www.kopis.or.kr/upload/pfmPoster/PF_PF241185_240516_144214.gif,서양음악(클래식),N,공연중
PF241105,맥베스,2024.07.13,2024.08.18,국립극장,http://www.kopis.or.kr/upload/pfmPoster/PF_PF241105_240516_102755.gif,연극,N,공연중
PF241100,"시크릿쥬쥬 시즌4, 별의보석: 소원을 말해봐! [서울]",2024.07.13,2024.08.04,유니버설아트센터,http://www.kopis.or.kr/upload/pfmPoster/PF_PF241100_240516_100511.gif,뮤지컬,N,공연중
PF241068,슈퍼스타 브레멘 밴드,2024.05.11,2024.07.31,로즈아트홀,http://www.kopis.or.kr/upload/pfmPoster/PF_PF241068_240514_125245.gif,뮤지컬,Y,공연중
PF241050,등등곡,2024.06.11,2024.08.11,티오엠씨어터(구. 문화공간필링),http://www.kopis.or.kr/upload/pfmPoster/PF_PF241050_240514_112043.gif,뮤지컬,N,공연중
PF240973,어쩌면 해피엔딩 [대학로],2024.06.18,2024.09.08,예스24 스테이지(구. DCF대명문화공장),http://www.kopis.or.kr/upload/pfmPoster/PF_PF240973_240513_151357.gif,뮤지컬,N,공연중
PF240801,박예람 플루트 리사이틀: Avenue Jean Jaures,2024.07.17,2024.07.17,예술의전당 [서울],http://www.kopis.or.kr/upload/pfmPoster/PF_PF240801_240510_102740.gif,서양음악(클래식),N,공연예정
PF240797,빨래 [대학로],2024.06.07,2024.12.29,유니플렉스,http://www.kopis.or.kr/upload/pfmPoster/PF_PF240797_240510_101623.gif,뮤지컬,N,공연중
PF240789,이블데드,2024.06.20,2024.09.01,유니플렉스,http://www.kopis.or.kr/upload/pfmPoster/PF_PF240789_240510_095856.gif,뮤지컬,N,공연중
PF240716,메노포즈,2024.06.13,2024.08.25,한전아트센터,http://www.kopis.or.kr/upload/pfmPoster/PF_PF240716_240509_100403.gif,뮤지컬,N,공연중
PF240597,클럽 드바이,2024.06.11,2024.09.01,예스24 스테이지(구. DCF대명문화공장),http://www.kopis.or.kr/upload/pfmPoster/PF_PF240597_240507_152605.gif,뮤지컬,N,공연중
