mt20id,prfnm,prfpdfrom,prfpdto,fcltynm,poster,genrenm,openrun,prfstate
PF239850,크리미널 시즌4 [대학로],2024.04.24,2024.09.01,봄날아트홀(구. 아리랑소극장),http://www.kopis.or.kr/upload/pfmPoster/PF_PF239850_240424_122150.png,연극,Y,공연중
PF239780,"이머시브 뮤지컬, 작은 세계",2024.05.25,2024.07.24,두잇아카펠라 Abar,http://www.kopis.or.kr/upload/pfmPoster/PF_PF239780_240423_112643.gif,뮤지컬,N,공연중
PF239751,진짜나쁜소녀,2024.05.08,2024.07.31,JTN 아트홀(구. 대학로예술마당),http://www.kopis.or.kr/upload/pfmPoster/PF_PF239751_240423_101356.gif,뮤지컬,Y,공연중
PF239674,연남동 빙굴빙굴 빨래방,2024.06.01,2024.08.31,후암씨어터(콘텐츠룸),http://www.kopis.or.kr/upload/pfmPoster/PF_PF239674_240422_135655.gif,뮤지컬,Y,공연중
PF239645,조각: 사라진 기억,2024.04.22,2024.08.31,댕로홀,http://www.kopis.or.kr/upload/pfmPoster/PF_PF239645_240422_124740.gif,연극,Y,공연중
PF239635,2호선 세입자 [대학로],2024.04.22,2024.07.31,바탕골소극장,http://www.kopis.or.kr/upload/pfmPoster/PF_PF239635_240422_115326.gif,연극,Y,공연중
PF239631,5! 해피맨 [대학로],2024.05.17,2024.07.27,굿씨어터,http://www.kopis.or.kr/upload/pfmPoster/PF_PF239631_240507_151318.jpg,뮤지컬,Y,공연중
PF239432,맥주 한잔 하실래요? 시즌4,2024.04.26,2024.07.31,더더더,http://www.kopis.or.kr/upload/pfmPoster/PF_PF239432_240509_111325.jpg,연극,N,공연중
PF239377,비누향기,2024.05.01,2024.08.31,서연아트홀(구. 인아소극장),http://www.kopis.or.kr/upload/pfmPoster/PF_PF239377_240417_111827.jpg,연극,Y,공연중
PF239344,미스터 래빗 [서울],2024.05.04,2024.08.18,롯데월드,http://www.kopis.or.kr/upload/pfmPoster/PF_PF239344_240417_095135.png,뮤지컬,N,공연중
PF239136,스즈메의 문단속 & 너의 이름은 & 날씨의 아이 필름콘서트,2024.06.28,2024.07.21,연세대학교 백주년기념관,http://www.kopis.or.kr/upload/pfmPoster/PF_PF239136_240415_100828.jpg,서양음악(클래식),N,공연중
PF239123,시카고 [서울],2024.06.07,2024.09.29,디큐브링크아트센터,http://www.kopis.or.kr/upload/pfmPoster/PF_PF239123_240412_145134.jpg,뮤지컬,N,공연중
PF239087,정글북 [서울 송파],2024.07.16,2024.08.25,올림픽공원,http://www.kopis.or.kr/upload/pfmPoster/PF_PF239087_240412_132021.jpg,뮤지컬,N,공연중
PF238876,무인도 탈출기,2024.05.12,2024.07.21,링크아트센터드림,http://www.kopis.or.kr/upload/pfmPoster/PF_PF238876_240409_093914.jpg,뮤지컬,N,공연중
PF238860,괴담: 위험한 해시태그 [대학로],2024.04.26,2024.07.31,우리소극장 [대학로],http://www.kopis.or.kr/upload/pfmPoster/PF_PF238860_240408_173555.gif,연극,N,공연중
PF238631,내일은 내일에게 [대학로],2024.03.22,2024.09.01,초록씨어터,http://www.kopis.or.kr/upload/pfmPoster/PF_PF238631_240403_172203.gif,연극,Y,공연중
PF238541,"15주년 기념공연, 영웅",2024.05.29,2024.08.11,세종문화회관,http://www.kopis.or.kr/upload/pfmPoster/PF_PF238541_240403_095518.gif,뮤지컬,N,공연중
PF238514,베어 더 뮤지컬,2024.05.22,2024.08.25,두산아트센터,http://www.kopis.or.kr/upload/pfmPoster/PF_PF238514_240402_114030.gif,뮤지컬,N,공연중
PF238513,케이킥 태권쇼,2024.04.08,2025.04.30,명보아트홀,http://www.kopis.or.kr/upload/pfmPoster/PF_PF238513_240402_113514.gif,복합,Y,공연중
PF238280,6시 퇴근 [대학로],2024.05.17,2024.08.11,SH아트홀,http://www.kopis.or.kr/upload/pfmPoster/PF_PF238280_240328_140834.gif,뮤지컬,N,공연중
PF238272,두잇아카펠라 금토공연,2024.04.05,2024.07.26,두잇아카펠라 Abar,http://www.kopis.or.kr/upload/pfmPoster/PF_PF238272_240328_134731.jpg,대중음악,Y,공연중
PF237983,옹알스 [대학로],2024.05.01,2024.08.31,세우아트센터,http://www.kopis.or.kr/upload/pfmPoster/PF_PF237983_240325_123904.gif,뮤지컬,Y,공연중
PF237783,남산골 한옥콘서트: 우주,2024.04.04,2024.10.04,남산골한옥마을,http://www.kopis.or.kr/upload/pfmPoster/PF_PF237783_240320_125543.gif,한국음악(국악),N,공연중
PF237488,책 속에 갇힌 고양이,2024.03.30,2024.08.31,명륜아트홀,http://www.kopis.or.kr/upload/pfmPoster/PF_PF237488_240315_140610.jpg,뮤지컬,Y,공연중
PF237479,페인터즈 [경향아트힐],2024.03.25,2024.08.31,경향아트힐,http://www.kopis.or.kr/upload/pfmPoster/PF_PF237479_240315_133619.jpg,뮤지컬,Y,공연중
PF237285,드립소년단,2024.04.04,2024.08.08,한성아트홀(구. 인켈아트홀),http://www.kopis.or.kr/upload/pfmPoster/PF_PF237285_240401_125621.gif,연극,Y,공연중
PF237166,더블플롯: 검은손님 & 돗가비사냥,2024.03.12,2024.07.21,VERY(베리컴퍼니),http://www.kopis.or.kr/upload/pfmPoster/PF_PF237166_240610_154451.gif,연극,N,공연중
PF236863,달 샤베트 [서울숲],2024.04.13,2024.08.28,더 서울라이티움 (갤러리아포레),http://www.kopis.or.kr/upload/pfmPoster/PF_PF236863_240307_112809.gif,뮤지컬,N,공연중
PF236674,썸데이 [대학로],2024.03.16,2024.08.31,대학로 무하아트센터,http://www.kopis.or.kr/upload/pfmPoster/PF_PF236674_240305_110135.jpg,뮤지컬,Y,공연중
PF236545,뱀프 X 헌터: 울부짖어라! 피닉스 포포!!,2024.04.12,2024.07.31,JS아트홀 (구. 고스트씨어터 구.다소니씨어터),http://www.kopis.or.kr/upload/pfmPoster/PF_PF236545_240304_141647.gif,뮤지컬,Y,공연중
PF236535,핑크퐁과 아기상어의 무지개 구출 작전,2024.05.01,2024.08.25,올림픽공원,http://www.kopis.or.kr/upload/pfmPoster/PF_PF236535_240304_135417.gif,뮤지컬,N,공연중
PF236414,불편한 편의점 [대학로],2024.04.01,2024.08.31,올웨이즈 씨어터(구.아티스탄홀),http://www.kopis.or.kr/upload/pfmPoster/PF_PF236414_240327_133238.jpg,연극,Y,공연중
PF236349,난타 [홍대],2024.04.01,2024.09.29,홍대난타극장(구. 뮤직쇼웨딩 전용관),http://www.kopis.or.kr/upload/pfmPoster/PF_PF236349_240228_140949.jpeg,뮤지컬,Y,공연중
PF236210,아기돼지삼형제: 늑대숲 또옹돼지 원정대,2024.03.23,2024.07.28,제나아트홀 (구. 룸씨어터),http://www.kopis.or.kr/upload/pfmPoster/PF_PF236210_240326_093508.gif,뮤지컬,Y,공연중
PF236138,소년 이순신: 잃어버린 거북선 설계도를 찾아라!,2024.06.01,2024.09.01,경복궁아트홀,http://www.kopis.or.kr/upload/pfmPoster/PF_PF236138_240702_092634.jpg,뮤지컬,N,공연중
PF235885,사내연애 보고서,2024.03.15,2024.07.31,제나아트홀 (구. 룸씨어터),http://www.kopis.or.kr/upload/pfmPoster/PF_PF235885_240221_111208.gif,연극,Y,공연중
PF235879,피노키오야 노올자~!,2024.03.23,2024.08.31,서연아트홀(구. 인아소극장),http://www.kopis.or.kr/upload/pfmPoster/PF_PF235879_240221_105721.gif,뮤지컬,Y,공연중
PF235750,죽어야 사는 남자 [대학로],2024.03.08,2024.08.31,업스테이지(UP Stage),http://www.kopis.or.kr/upload/pfmPoster/PF_PF235750_240219_144237.jpg,연극,Y,공연중
PF235487,킬러가온다,2024.03.08,2024.09.08,아트포레스트 아트홀,http://www.kopis.or.kr/upload/pfmPoster/PF_PF235487_240509_142124.gif,연극,N,공연중
PF235432,"정오의 사랑방 음악회, 정동다음",2024.04.02,2024.12.03,국립정동극장,http://www.kopis.or.kr/upload/pfmPoster/PF_PF235432_240312_143543.gif,한국음악(국악),N,공연중
PF235404,토요국악동화,2024.03.02,2024.12.28,국립국악원,http://www.kopis.or.kr/upload/pfmPoster/PF_PF235404_240214_102638.jpg,한국음악(국악),N,공연중
PF235344,오백에 삼십 [JTN 아트홀],2024.02.24,2024.08.31,JTN 아트홀(구. 대학로예술마당),http://www.kopis.or.kr/upload/pfmPoster/PF_PF235344_240213_141816.jpg,연극,Y,공연중
