,공고 제목,기업 이름,도메인,기업 규모,사원수,설립 연도,요구 경력,요구 학력,스킬,고용 형태,급여,지역
10,데이터 엔지니어 (인턴),㈜딥세일즈,응용소프트웨어개발및공급업,중소기업 (비상장),16명,2021년(4년차),경력무관,대졸이상,"Hadoop,Spark,Airflow,AWSAthena,BigQuery,ETL,LLM",인턴근무기간6개월 정규직전환가능,회사내규에따름 -면접후결정,서울시강남구
11,[Qoo10] 데이터 엔지니어 (경력),㈜큐텐 코리아,전자상거래소매중개업,중소기업 (-),명시되어있지않음,명시되어있지않음,경력 (5년이상),학력무관,"GCP,Hadoop,JAVA,MongoDB,Python,Scala,Spark,Linux,ETL",정규직,회사내규에따름 -면접후결정,서울시강남구
12,데이터 엔지니어 채용,로민,솔루션·SI·CRM·ERP,벤처기업 (비상장),38명,2018년(7년차),경력 (5년이상),대졸이상,Python,정규직수습3개월,"연봉5,000만원이상 -면접후결정",서울시서초구
13,[LG그룹] DW 데이터엔지니어 경력 채용,㈜비즈테크아이,컴퓨터시스템통합자문및구축서비스업,대기업 (비상장),780명,2003년(22년차),경력 (1년이상),대졸이상,명시되어있지않음,정규직   계약직,회사내규에따름 -면접후결정,"서울시마포구 ,서울전지역"
14,[LOST ARK] 게임 데이터엔지니어 담당,㈜스마일게이트알피지,게임·애니메이션,중견기업 (비상장),590명,2011년(14년차),경력 (1년이상),학력무관,"Django,Flask,Hadoop,JAVA,Keras,Python,Pytorch,Scala,SQL,Tensorflow",정규직수습3개월,회사내규에따름 -면접후결정,경기도성남시분당구
15,데이터 엔지니어(MS) 채용(신입/경력),엠클라우드브리지㈜,시스템소프트웨어개발및공급업,중소기업 (비상장),56명,2022년(3년차),신입·경력 (1년이상),학력무관,"AWS,Azure,JAVA,MongoDB,MSSQL,Python,R,SQL,Excel,POWERBI",정규직수습3개월,"연봉3,700만원이상",서울시강남구
16,데이터 엔지니어,로민,솔루션·SI·CRM·ERP,벤처기업 (비상장),38명,2018년(7년차),경력 (5년이상),대졸이상,"AWS,Docker,Pandas,PostgreSQL,Python,Airflow",정규직,회사내규에따름,서울시서초구
17,"데이터 엔지니어, 소프트웨어 개발자(JAVA) 채용",디딤365㈜ (Didim365 Inc.),응용소프트웨어개발및공급업,중소기업 (비상장),195명,2005년(20년차),경력 (3년이상),초대졸이상,"JAVA,React,Spring,SpringBoot,SQL,GitLab,IntelliJ,extjs,fast-api",정규직수습3개월,회사내규에따름 -면접후결정,서울시성동구
18,[컬리페이] 데이터 엔지니어 (Data Engineer),㈜컬리,전자상거래소매업,중견기업 (비상장),"2,624명",2015년(10년차),경력 (7년이상),학력무관,명시되어있지않음,정규직,회사내규에따름,서울시강남구
19,[테크사업부] 데이터 엔지니어,㈜매드업,광고·홍보·전시,벤처기업 (비상장),301명,2015년(10년차),경력 (1년이상),대졸이상,"API,AWS,Django,Python,Airflow,Fastapi",정규직수습3개월,회사내규에따름 -면접후결정,서울시강남구
