mt20id,prfnm,prfpdfrom,prfpdto,fcltynm,prfcast,prfcrew,prfruntime,prfage,entrpsnm,pcseguidance,poster,sty,genrenm,openrun,prfstate,mt10id,dtguidance,styurls
PF235750,죽어야 사는 남자 [대학로],2024.03.08,2024.08.31,업스테이지(UP Stage) (업스테이지(UP Stage)),"장민기, 민현우, 공소진, 민소이, 문종석, 채혁주","진종현, 박종훈, 박상철 등",1시간 30분,만 18세 이상,위로컴퍼니,"전석 50,000원",http://www.kopis.or.kr/upload/pfmPoster/PF_PF235750_240219_144237.jpg, ,연극,Y,공연중,FC002072,"월요일 ~ 금요일(19:30), 토요일(15:00,18:00), 일요일(14:00,17:00), HOL(14:00,15:00,17:00,18:00)",['http://www.kopis.or.kr/upload/pfmIntroImage/PF_PF235750_240219_0242370.jpg']
PF235487,킬러가온다,2024.03.08,2024.09.08,아트포레스트 아트홀 (2관),"조찬형, 오하성, 주현우, 맹승지, 임도화, 이지현, 문선화 등","임도영, 홍성현, 김승민 등",1시간 30분,만 11세 이상, ,"전석 40,000원",http://www.kopis.or.kr/upload/pfmPoster/PF_PF235487_240509_142124.gif, ,연극,N,공연중,FC001603,"화요일 ~ 목요일(19:30), 금요일(17:00,19:30), 토요일(13:30,14:30,16:00,17:00,18:30), 일요일(14:00,16:30), HOL(15:00)",['http://www.kopis.or.kr/upload/pfmIntroImage/PF_PF235487_240509_0221241.jpg']
PF235432,"정오의 사랑방 음악회, 정동다음",2024.04.02,2024.12.03,국립정동극장 (정동마루),"신예주, 전영랑, 이봉근, 박인혜, 권송희, 김율희, 이소연 등", ,1시간,만 13세 이상, ,"전석 20,000원",http://www.kopis.or.kr/upload/pfmPoster/PF_PF235432_240312_143543.gif, ,한국음악(국악),N,공연중,FC000006,화요일(11:00),['http://www.kopis.or.kr/upload/pfmIntroImage/PF_PF235432_240312_0235431.jpg']
PF235404,토요국악동화,2024.03.02,2024.12.28,국립국악원 (풍류사랑방), , ,1시간,12개월 이상, ,"전석 20,000원",http://www.kopis.or.kr/upload/pfmPoster/PF_PF235404_240214_102638.jpg, ,한국음악(국악),N,공연중,FC000009,토요일(14:00),['http://www.kopis.or.kr/upload/pfmIntroImage/PF_PF235404_240214_1026380.jpg']
PF235344,오백에 삼십 [JTN 아트홀],2024.02.24,2024.08.31,JTN 아트홀(구. 대학로예술마당) (3관),"최종관, 황윤중, 서보국, 박태현, 정광훈, 정재이, 이수린 등","하성훈, 박대정",1시간 40분,만 13세 이상, ,"전석 50,000원",http://www.kopis.or.kr/upload/pfmPoster/PF_PF235344_240213_141816.jpg, ,연극,Y,공연중,FC000139,"월요일(14:30), 화요일 ~ 목요일(14:30,17:00), 금요일(14:30,17:00,19:30), 토요일(12:00,14:30,17:00,19:10), 일요일(12:00,14:30,17:00), HOL(12:00,14:30,17:00)",['http://www.kopis.or.kr/upload/pfmIntroImage/PF_PF235344_240213_0218160.jpg']
PF235101,다담 茶談,2024.02.28,2024.11.27,국립국악원 (우면당),"김기호, 전영애, 이지선, 하림 등", ,1시간 15분,만 7세 이상, ,"전석 20,000원",http://www.kopis.or.kr/upload/pfmPoster/PF_PF235101_240207_103227.jpg, ,한국음악(국악),N,공연중,FC000009,수요일(11:00),['http://www.kopis.or.kr/upload/pfmIntroImage/PF_PF235101_240207_1032270.jpg']
PF234739,"더 맨 얼라이브, 초이스",2024.03.22,2024.09.29,더 서울라이티움 (갤러리아포레) (G층 전용관),"김종민, 전석형, 남충화, 장영국, 김종훈 등", ,1시간 15분,만 19세 이상, ,"Alive석 99,000원, Choice석 77,000원, Special석 110,000원",http://www.kopis.or.kr/upload/pfmPoster/PF_PF234739_240426_133221.gif, ,뮤지컬,N,공연중,FC002012,"화요일 ~ 금요일(20:00), 토요일 ~ 일요일(19:30), HOL(19:30)",['http://www.kopis.or.kr/upload/pfmIntroImage/PF_PF234739_240426_0132211.jpg']
PF234521,사춘기메들리 [대학로],2024.02.01,2024.07.31,아라아트홀 (아라아트홀),"박준혁, 조동진, 신민진, 김혜라, 이세이, 박선형, 김태연 등", ,1시간 30분,만 7세 이상,"(주)팀플레이예술기획, 콘텐츠er","전석 40,000원",http://www.kopis.or.kr/upload/pfmPoster/PF_PF234521_240126_100644.gif, ,연극,Y,공연중,FC003839,"토요일(13:00,17:30,18:30), 일요일(14:00,17:30), HOL(13:00,14:00,17:30), 월요일(14:30), 수요일(14:30)",['http://www.kopis.or.kr/upload/pfmIntroImage/PF_PF234521_240126_1005250.jpg']
PF234318,딜리버리 [대학로],2024.02.03,2024.07.31,아라아트홀 (아라아트홀),"정영성, 장경진, 김준혜, 안세미, 이수현, 이세진, 채다솜 등", ,1시간 30분,만 7세 이상,(주)팀플레이예술기획,"미소자유석 10,000원",http://www.kopis.or.kr/upload/pfmPoster/PF_PF234318_240122_140900.jpg, ,연극,Y,공연중,FC003839,"월요일(17:00), 수요일 ~ 금요일(17:00), 토요일(15:30,17:30,19:30), 일요일(16:30,18:30), HOL(15:30,16:30,17:30,18:30,19:30)","['http://www.kopis.or.kr/upload/pfmIntroImage/PF_PF234318_240125_0222013.jpg', 'http://www.kopis.or.kr/upload/pfmIntroImage/PF_PF234318_240125_0222012.jpg', 'http://www.kopis.or.kr/upload/pfmIntroImage/PF_PF234318_240125_0222011.jpg']"
PF234123,나의PS파트너,2024.02.03,2024.07.31,마루아트홀 (마루아트홀),"최영광, 문성욱, 김승현, 신하늘, 정수민, 지수아, 이재룡 등", ,1시간 30분,만 18세 이상,(주)팀플레이예술기획,"전석 40,000원",http://www.kopis.or.kr/upload/pfmPoster/PF_PF234123_240125_112011.gif, ,연극,Y,공연중,FC001815,"월요일(17:00), 수요일 ~ 금요일(17:00), 토요일(14:00,16:00,18:00,20:00), 일요일(14:00,16:00,18:00,20:00), HOL(14:00,16:00,18:00)",['http://www.kopis.or.kr/upload/pfmIntroImage/PF_PF234123_240118_1210250.jpg']
PF233263,인사이드 미,2024.01.03,2024.07.28,JTN 아트홀(구. 대학로예술마당) (2관),"윤채린, 김유림, 이재형, 서우연, 차윤오, 박세웅, 표근률 등","안수현, 서형래, 서홍석 등",1시간 50분,만 8세 이상, ,"전석 50,000원",http://www.kopis.or.kr/upload/pfmPoster/PF_PF233263_240102_124103.jpg, ,뮤지컬,Y,공연중,FC000139,"수요일 ~ 금요일(19:00,19:30), 토요일(15:00,18:00), 일요일(15:00), HOL(15:00,19:00)","['http://www.kopis.or.kr/upload/pfmIntroImage/PF_PF233263_240102_1250042.jpg', 'http://www.kopis.or.kr/upload/pfmIntroImage/PF_PF233263_240102_1250041.jpg', 'http://www.kopis.or.kr/upload/pfmIntroImage/PF_PF233263_240102_1250040.jpg']"
PF233082,ABBA: 아바,2024.02.01,2024.08.31,광야아트센터 (광야아트센터), , ,1시간 40분,만 7세 이상,광야아트미니스트리,"전석(주말) 70,000원, 전석(평일) 60,000원",http://www.kopis.or.kr/upload/pfmPoster/PF_PF233082_231226_135000.png, ,뮤지컬,N,공연중,FC002226,"월요일 ~ 화요일(19:30), 수요일(14:00), 목요일 ~ 금요일(19:30), 토요일(14:00,18:00), HOL(14:00,18:00)",['http://www.kopis.or.kr/upload/pfmIntroImage/PF_PF233082_240123_0404101.png']
PF232643,"삼청각 수요상설공연, 三淸: 삼청",2024.02.14,2024.12.25,삼청각 (일화당), , ,1시간,전체 관람가, ,"전석 60,000원",http://www.kopis.or.kr/upload/pfmPoster/PF_PF232643_231218_104512.gif, ,한국음악(국악),N,공연중,FC000817,"수요일(18:30), HOL(18:30)",['http://www.kopis.or.kr/upload/pfmIntroImage/PF_PF232643_231218_1043540.jpg']
PF232476,토요명품,2024.01.06,2024.12.28,국립국악원 (우면당), , ,1시간 20분,만 7세 이상, ,"A석 20,000원, B석 10,000원",http://www.kopis.or.kr/upload/pfmPoster/PF_PF232476_231214_092554.jpg, ,한국음악(국악),N,공연중,FC000009,토요일(15:00),['http://www.kopis.or.kr/upload/pfmIntroImage/PF_PF232476_231214_0925540.jpg']
PF231450,반짝반짝 백설공주,2023.12.24,2024.07.28,달밤엔씨어터 (달밤엔씨어터),"이시영, 박송연, 박슬아, 김서우, 임슬해, 허정호, 김주은 등", ,50분,24개월 이상, ,"전석 40,000원",http://www.kopis.or.kr/upload/pfmPoster/PF_PF231450_240429_105253.jpg, ,뮤지컬,Y,공연중,FC001884,"토요일(11:00,12:00,15:00), 일요일(11:00,12:00,15:00), HOL(12:00,15:00)",['http://www.kopis.or.kr/upload/pfmIntroImage/PF_PF231450_240429_1052021.jpg']
